AdminController::Cheque issue::Old Balance:9999999999::New Balance:9999999989::Old Loc:9999999::New Loc:9999989::Date:02-06-2015 10:03:02
AdminController::Single party::Cheque issue::DDOCODE:12010104004::HOA:8448001200002000000NVN::Old Balance:9600970::New Balance:9582750::Old Loc:5716198::New Loc:5697978::Date:19-06-2015 11:08:50
AdminController::Single party::Cheque issue::DDOCODE:11011603004::HOA:8443001040001000000NVN::Old Balance:55498364::New Balance:55433748::Old Loc:0::New Loc:-64616::Date:19-06-2015 11:10:42
AdminController::Single party::Cheque issue::DDOCODE:27021503001::HOA:8342001200009000000NVN::Old Balance:1893003131::New Balance:1892814847::Old Loc:1224469577::New Loc:1224281293::Date:19-06-2015 11:14:15
AdminController::Single party::Cheque issue::DDOCODE:11011603004::HOA:8443001040001000000NVN::Old Balance:55433748::New Balance:55369132::Old Loc:0::New Loc:-64616::Date:19-06-2015 11:19:23
AdminController::PD to PD::Cheque issue::DDOCODE:11012202011::HOA:8448001090003008000NVN::Old Balance:301963952::New Balance:296250729::Old Loc:0::New Loc:0::Date:19-06-2015 11:19:35
AdminController::Single party::Cheque issue::DDOCODE:27021503001::HOA:8342001200009000000NVN::Old Balance:1892814847::New Balance:1892489264::Old Loc:1224281293::New Loc:1223955710::Date:19-06-2015 11:20:44
AdminController::Single party::Cheque issue::DDOCODE:22132202010::HOA:8448001090001005000NVN::Old Balance:691818::New Balance:631818::Old Loc:0::New Loc:0::Date:19-06-2015 11:22:48
AdminController::PD to PD::Cheque issue::DDOCODE:10012002001::HOA:8448001200022000000NVN::Old Balance:883032864::New Balance:882833595::Old Loc:0::New Loc:0::Date:19-06-2015 11:25:40
AdminController::PD to PD::Cheque issue::DDOCODE:10012002001::HOA:8448001200022000000NVN::Old Balance:882833595::New Balance:882633595::Old Loc:0::New Loc:0::Date:19-06-2015 11:33:13
AdminController::PD to PD::Cheque issue::DDOCODE:01012002001::HOA:8448001200022000000NVN::Old Balance:1066695218::New Balance:1065135218::Old Loc:0::New Loc:0::Date:19-06-2015 11:37:13
AdminController::Single party::Cheque issue::DDOCODE:11010704001::HOA:8011001050001000000NVN::Old Balance:458351::New Balance:-1292507::Old Loc:0::New Loc:-1750858::Date:19-06-2015 11:39:16
AdminController::Single party::Cheque issue::DDOCODE:11010704001::HOA:8011001050001000000NVN::Old Balance:458351::New Balance:-1306575::Old Loc:0::New Loc:-1764926::Date:19-06-2015 11:40:44
AdminController::Single party::Cheque issue::DDOCODE:05011802001::HOA:8448001020003002000NVN::Old Balance:47449690::New Balance:47230541::Old Loc:8890430::New Loc:8671281::Date:19-06-2015 11:41:00
AdminController::Single party::Cheque issue::DDOCODE:11010704001::HOA:8011001050001000000NVN::Old Balance:458351::New Balance:-57785::Old Loc:0::New Loc:-516136::Date:19-06-2015 11:42:05
AdminController::Single party::Cheque issue::DDOCODE:11010704001::HOA:8011001050001000000NVN::Old Balance:458351::New Balance:237419::Old Loc:0::New Loc:-220932::Date:19-06-2015 11:43:36
AdminController::Single party::Cheque issue::DDOCODE:05011802001::HOA:8448001020003002000NVN::Old Balance:47230541::New Balance:46730541::Old Loc:8671281::New Loc:8171281::Date:19-06-2015 11:45:37
AdminController::Single party::Cheque issue::DDOCODE:05011603002::HOA:8443001040001000000NVN::Old Balance:31679869::New Balance:31556059::Old Loc:0::New Loc:-123810::Date:19-06-2015 11:54:38
AdminController::Single party::Cheque issue::DDOCODE:01010702001::HOA:8342001170004002000NVN::Old Balance:16594441::New Balance:7051701::Old Loc:0::New Loc:0::Date:19-06-2015 11:58:40
AdminController::Multiple party::Cheque issue::DDOCODE:11012202011::HOA:8448001090003001000NVN::Old Balance:133212362::New Balance:133007485::Old Loc:19889797::New Loc:19684920::Date:19-06-2015 12:01:03
AdminController::Multiple party::Cheque issue::DDOCODE:27021305001::HOA:8449001200001000000NVN::Old Balance:440047166::New Balance:397372444::Old Loc:384928630::New Loc:342253908::Date:19-06-2015 12:22:24
AdminController::Single party lapsable::Cheque issue::DDOCODE:22012202013::HOA:8448001200022000000NVN::Old Balance:85290333::New Balance:85263843::Old Loc:0::New Loc:0::Date:19-06-2015 12:29:20
AdminController::Single party::Cheque issue::DDOCODE:04010102006::HOA:8449001200030000000NVN::Old Balance:220175113::New Balance:210750363::Old Loc:0::New Loc:0::Date:19-06-2015 12:30:57
AdminController::Multiple party::Cheque issue::DDOCODE:27021305001::HOA:8449001200001000000NVN::Old Balance:397372444::New Balance:334655761::Old Loc:342253908::New Loc:279537225::Date:19-06-2015 12:32:39
AdminController::Single party::Cheque issue::DDOCODE:05011802001::HOA:8448001020003002000NVN::Old Balance:46730541::New Balance:46452928::Old Loc:8171281::New Loc:7893668::Date:19-06-2015 12:41:49
AdminController::Single party::Cheque issue::DDOCODE:12011802002::HOA:8448001020006001000NVN::Old Balance:59195581::New Balance:54195581::Old Loc:5000000::New Loc:0::Date:19-06-2015 12:44:10
AdminController::Single party::Cheque issue::DDOCODE:05011802001::HOA:8448001020003002000NVN::Old Balance:46452928::New Balance:46340032::Old Loc:7893668::New Loc:7780772::Date:19-06-2015 12:44:30
AdminController::PD to PD::Cheque issue::DDOCODE:04012002001::HOA:8448001200022000000NVN::Old Balance:1426850814::New Balance:1426780592::Old Loc:0::New Loc:0::Date:19-06-2015 12:46:10
AdminController::PD to PD::Cheque issue::DDOCODE:04012002001::HOA:8448001200022000000NVN::Old Balance:1426780592::New Balance:1426690015::Old Loc:0::New Loc:0::Date:19-06-2015 12:47:21
AdminController::Single party::Cheque issue::DDOCODE:12011802002::HOA:8448001020006002000NVN::Old Balance:14341683::New Balance:6341683::Old Loc:8000000::New Loc:0::Date:19-06-2015 12:57:10
BankController::Cheque Rejected::Old Balance:117370913::New Balance:117445892::Old Loc:37726989::New Loc:37801968::Date:19-06-2015 13:00:45
AdminController::Multiple party::Cheque issue::DDOCODE:05010102002::HOA:8449001200030000000NVN::Old Balance:174193117::New Balance:174035117::Old Loc:0::New Loc:0::Date:19-06-2015 13:02:33
AdminController::Single party::Cheque issue::DDOCODE:08012202042::HOA:8448001090003008000NVN::Old Balance:2762670::New Balance:1741881::Old Loc:0::New Loc:0::Date:19-06-2015 13:07:01
BankController::Cheque Rejected::Old Balance:117445892::New Balance:118918521::Old Loc:37801968::New Loc:39274597::Date:19-06-2015 13:09:24
AdminController::Single party::Cheque issue::DDOCODE:08012202042::HOA:8448001090003008000NVN::Old Balance:1741881::New Balance:1365697::Old Loc:0::New Loc:0::Date:19-06-2015 13:11:11
AdminController::Multiple party::Cheque issue::DDOCODE:04010102006::HOA:8449001200030000000NVN::Old Balance:210750363::New Balance:202676662::Old Loc:0::New Loc:0::Date:19-06-2015 13:11:24
BankController::Cheque Rejected::Old Balance:118918521::New Balance:119643924::Old Loc:39274597::New Loc:40000000::Date:19-06-2015 13:15:47
AdminController::Multiple party::Cheque issue::DDOCODE:07010102001::HOA:8449001200030000000NVN::Old Balance:135924606::New Balance:132307984::Old Loc:0::New Loc:0::Date:19-06-2015 13:33:45
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:147522217::New Balance:147332217::Old Loc:0::New Loc:-190000::Date:19-06-2015 13:38:31
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:147332217::New Balance:147102217::Old Loc:0::New Loc:-230000::Date:19-06-2015 13:42:57
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:147102217::New Balance:147035949::Old Loc:0::New Loc:-66268::Date:19-06-2015 13:44:45
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:147035949::New Balance:146615685::Old Loc:0::New Loc:-420264::Date:19-06-2015 13:46:42
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:146615685::New Balance:146415685::Old Loc:0::New Loc:-200000::Date:19-06-2015 13:48:35
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:146415685::New Balance:146265685::Old Loc:0::New Loc:-150000::Date:19-06-2015 13:50:28
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:146265685::New Balance:146110685::Old Loc:0::New Loc:-155000::Date:19-06-2015 13:51:58
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:146110685::New Balance:145960685::Old Loc:0::New Loc:-150000::Date:19-06-2015 13:53:17
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:145960685::New Balance:145740887::Old Loc:0::New Loc:-219798::Date:19-06-2015 13:55:06
AdminController::Multiple party::Cheque issue::DDOCODE:12012202104::HOA:8448001090003001000NVN::Old Balance:119643924::New Balance:119568945::Old Loc:40000000::New Loc:39925021::Date:19-06-2015 14:22:23
AdminController::Multiple party::Cheque issue::DDOCODE:12012202104::HOA:8448001090003001000NVN::Old Balance:119568945::New Balance:118843542::Old Loc:39925021::New Loc:39199618::Date:19-06-2015 14:26:07
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:80634330::New Balance:80593582::Old Loc:0::New Loc:-40748::Date:19-06-2015 14:29:57
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:80593582::New Balance:80377801::Old Loc:0::New Loc:-215781::Date:19-06-2015 14:31:43
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:80377801::New Balance:80217801::Old Loc:0::New Loc:-160000::Date:19-06-2015 14:32:40
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:80217801::New Balance:80087801::Old Loc:0::New Loc:-130000::Date:19-06-2015 14:33:28
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:80087801::New Balance:79998668::Old Loc:0::New Loc:-89133::Date:19-06-2015 14:34:34
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:79998668::New Balance:79814148::Old Loc:0::New Loc:-184520::Date:19-06-2015 14:36:09
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:76132329::New Balance:75933260::Old Loc:0::New Loc:-199069::Date:19-06-2015 14:36:25
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:79814148::New Balance:79762518::Old Loc:0::New Loc:-51630::Date:19-06-2015 14:36:54
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:75933260::New Balance:75845272::Old Loc:0::New Loc:-87988::Date:19-06-2015 14:37:52
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:79762518::New Balance:79405938::Old Loc:0::New Loc:-356580::Date:19-06-2015 14:38:18
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:79405938::New Balance:79355938::Old Loc:0::New Loc:-50000::Date:19-06-2015 14:39:07
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:75845272::New Balance:75724088::Old Loc:0::New Loc:-121184::Date:19-06-2015 14:40:35
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:79355938::New Balance:78978259::Old Loc:0::New Loc:-377679::Date:19-06-2015 14:40:48
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:75724088::New Balance:75576331::Old Loc:0::New Loc:-147757::Date:19-06-2015 14:42:04
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:78978259::New Balance:78816913::Old Loc:0::New Loc:-161346::Date:19-06-2015 14:42:28
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:75576331::New Balance:75123950::Old Loc:0::New Loc:-452381::Date:19-06-2015 14:43:29
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:78816913::New Balance:78676913::Old Loc:0::New Loc:-140000::Date:19-06-2015 14:43:42
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:78676913::New Balance:78634046::Old Loc:0::New Loc:-42867::Date:19-06-2015 14:44:54
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:75123950::New Balance:75110279::Old Loc:0::New Loc:-13671::Date:19-06-2015 14:45:06
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:78634046::New Balance:78580296::Old Loc:0::New Loc:-53750::Date:19-06-2015 14:46:48
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:75110279::New Balance:75096608::Old Loc:0::New Loc:-13671::Date:19-06-2015 14:48:06
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:78580296::New Balance:78493455::Old Loc:0::New Loc:-86841::Date:19-06-2015 14:48:08
AdminController::Single party::Cheque issue::DDOCODE:04011603001::HOA:8443001040001000000NVN::Old Balance:78493455::New Balance:78376342::Old Loc:0::New Loc:-117113::Date:19-06-2015 14:49:27
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:75096608::New Balance:75005008::Old Loc:0::New Loc:-91600::Date:19-06-2015 14:49:28
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:75005008::New Balance:74805008::Old Loc:0::New Loc:-200000::Date:19-06-2015 14:50:46
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:74805008::New Balance:74755008::Old Loc:0::New Loc:-50000::Date:19-06-2015 14:52:05
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:74755008::New Balance:74675008::Old Loc:0::New Loc:-80000::Date:19-06-2015 14:53:17
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:74675008::New Balance:74595008::Old Loc:0::New Loc:-80000::Date:19-06-2015 14:54:35
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:74595008::New Balance:74515008::Old Loc:0::New Loc:-80000::Date:19-06-2015 14:55:47
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:74515008::New Balance:74415008::Old Loc:0::New Loc:-100000::Date:19-06-2015 14:56:55
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:74415008::New Balance:74312481::Old Loc:0::New Loc:-102527::Date:19-06-2015 14:58:25
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:74312481::New Balance:74294061::Old Loc:0::New Loc:-18420::Date:19-06-2015 14:59:52
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:74294061::New Balance:74117977::Old Loc:0::New Loc:-176084::Date:19-06-2015 15:01:25
AdminController::Single party::Cheque issue::DDOCODE:07011603001::HOA:8443001040001000000NVN::Old Balance:74117977::New Balance:74033205::Old Loc:0::New Loc:-84772::Date:19-06-2015 15:03:45
AdminController::PD to PD::Cheque issue::DDOCODE:02012002001::HOA:8448001200022000000NVN::Old Balance:923959283::New Balance:923213033::Old Loc:0::New Loc:0::Date:19-06-2015 15:19:49
AdminController::Single party::Cheque issue::DDOCODE:27022003001::HOA:8449001200056000000NVN::Old Balance:692882349::New Balance:692521146::Old Loc:555206967::New Loc:554845764::Date:19-06-2015 15:22:06
AdminController::Multiple party::Cheque issue::DDOCODE:12012202104::HOA:8448001090003001000NVN::Old Balance:118843542::New Balance:117370913::Old Loc:39199618::New Loc:37726989::Date:19-06-2015 15:23:09
AdminController::Multiple party::Cheque issue::DDOCODE:22012202003::HOA:8448001090003001000NVN::Old Balance:79139950::New Balance:79036370::Old Loc:19875082::New Loc:19771502::Date:19-06-2015 15:32:01
AdminController::Single party::Cheque issue::DDOCODE:27021301002::HOA:8449001200036000000NVN::Old Balance:28167000::New Balance:18667000::Old Loc:28167000::New Loc:18667000::Date:19-06-2015 15:32:24
AdminController::Single party::Cheque issue::DDOCODE:01011603017::HOA:8443001040001000000NVN::Old Balance:89110510::New Balance:89066930::Old Loc:167000::New Loc:123420::Date:19-06-2015 15:59:16
AdminController::Multiple party::Cheque issue::DDOCODE:27022003001::HOA:8449001200056000000NVN::Old Balance:692521146::New Balance:692459907::Old Loc:554845764::New Loc:554784525::Date:19-06-2015 16:00:59
AdminController::Multiple party::Cheque issue::DDOCODE:06010102002::HOA:8449001200030000000NVN::Old Balance:388832925::New Balance:388453805::Old Loc:0::New Loc:0::Date:19-06-2015 16:11:17
AdminController::Multiple party::Cheque issue::DDOCODE:06010102002::HOA:8449001200030000000NVN::Old Balance:388453805::New Balance:388393255::Old Loc:0::New Loc:0::Date:19-06-2015 16:18:58
AdminController::Multiple party::Cheque issue::DDOCODE:05010102002::HOA:8449001200030000000NVN::Old Balance:174035117::New Balance:163620893::Old Loc:0::New Loc:0::Date:19-06-2015 16:22:52
AdminController::Multiple party::Cheque issue::DDOCODE:06010102002::HOA:8449001200030000000NVN::Old Balance:388393255::New Balance:387135765::Old Loc:0::New Loc:0::Date:19-06-2015 16:31:28
AdminController::Multiple party::Cheque issue::DDOCODE:11010309001::HOA:8448001200003000000NVN::Old Balance:63337636::New Balance:63242761::Old Loc:1450390::New Loc:1355515::Date:19-06-2015 16:55:04
AdminController::Single party::Cheque issue::DDOCODE:11010309001::HOA:8448001200003000000NVN::Old Balance:63242761::New Balance:62624336::Old Loc:1355515::New Loc:737090::Date:19-06-2015 16:58:21
AdminController::Multiple party::Cheque issue::DDOCODE:06010104002::HOA:8448001200002000000NVN::Old Balance:1401980218::New Balance:1396417367::Old Loc:77171821::New Loc:71608970::Date:19-06-2015 17:25:12
AdminController::Multiple party::Cheque issue::DDOCODE:06010102002::HOA:8449001200030000000NVN::Old Balance:387135765::New Balance:376983958::Old Loc:0::New Loc:0::Date:19-06-2015 17:30:24
AdminController::Single party::Cheque issue::DDOCODE:06010104002::HOA:8448001200002000000NVN::Old Balance:1396417367::New Balance:1395017367::Old Loc:71608970::New Loc:70208970::Date:19-06-2015 17:30:36
AdminController::Single party::Cheque issue::DDOCODE:06010102002::HOA:8449001200030000000NVN::Old Balance:376983958::New Balance:372983958::Old Loc:0::New Loc:0::Date:19-06-2015 17:34:43
AdminController::Single party::Cheque issue::DDOCODE:02012210003::HOA:8448001200022000000NVN::Old Balance:25485827::New Balance:25084777::Old Loc:0::New Loc:0::Date:19-06-2015 17:47:52
AdminController::Single party::Cheque issue::DDOCODE:22012202003::HOA:8448001090003001000NVN::Old Balance:79036370::New Balance:78992970::Old Loc:19771502::New Loc:19728102::Date:19-06-2015 17:51:55
AdminController::Single party::Cheque issue::DDOCODE:03012002001::HOA:8448001200022000000NVN::Old Balance:608336531::New Balance:608327031::Old Loc:0::New Loc:0::Date:19-06-2015 17:55:42
AdminController::Single party::Cheque issue::DDOCODE:22012202003::HOA:8448001090003001000NVN::Old Balance:78992970::New Balance:78986107::Old Loc:19728102::New Loc:19721239::Date:19-06-2015 17:56:25
AdminController::Multiple party::Cheque issue::DDOCODE:09010102001::HOA:8449001200030000000NVN::Old Balance:177928107::New Balance:170032107::Old Loc:0::New Loc:0::Date:19-06-2015 19:02:18
AdminController::Single party::Cheque issue::DDOCODE:22132202018::HOA:8448001090001001000NVN::Old Balance:65780::New Balance:50580::Old Loc:15200::New Loc:0::Date:19-06-2015 19:41:09
AdminController::Single party::Cheque issue::DDOCODE:22132202045::HOA:8448001090001001000NVN::Old Balance:880902::New Balance:854502::Old Loc:108514::New Loc:82114::Date:19-06-2015 19:46:27
AdminController::Single party::Cheque issue::DDOCODE:22132202045::HOA:8448001090001001000NVN::Old Balance:854502::New Balance:791102::Old Loc:82114::New Loc:18714::Date:19-06-2015 19:49:33
AdminController::Single party::Cheque issue::DDOCODE:22132202021::HOA:8448001090001005000NVN::Old Balance:639646::New Balance:627646::Old Loc:0::New Loc:0::Date:20-06-2015 10:30:53
AdminController::Single party::Cheque issue::DDOCODE:08010704003::HOA:8011001050001000000NVN::Old Balance:0::New Balance:-423983::Old Loc:0::New Loc:-423983::Date:20-06-2015 11:06:36
AdminController::Multiple party::Cheque issue::DDOCODE:11012202011::HOA:8338001040001000000NVN::Old Balance:1773106893::New Balance:1765046893::Old Loc:100000000::New Loc:91940000::Date:20-06-2015 11:07:19
AdminController::Multiple party lapsable::Cheque issue::DDOCODE:22012002001::HOA:8448001200022000000NVN::Old Balance:1690046347::New Balance:1682279347::Old Loc:0::New Loc:0::Date:20-06-2015 11:22:04
AdminController::Single party::Cheque issue::DDOCODE:06010323001::HOA:8448001100020000000NVN::Old Balance:37175000::New Balance:0::Old Loc:0::New Loc:0::Date:20-06-2015 11:29:09
AdminController::Single party::Cheque issue::DDOCODE:05012202010::HOA:8448001090002011000NVN::Old Balance:2159776::New Balance:2117741::Old Loc:0::New Loc:0::Date:20-06-2015 11:30:16
AdminController::Multiple party::Cheque issue::DDOCODE:27021905001::HOA:8449001200038000000NVN::Old Balance:302792099::New Balance:294724599::Old Loc:202895265::New Loc:194827765::Date:20-06-2015 11:33:12
AdminController::Single party::Cheque issue::DDOCODE:02012202008::HOA:8448001200022000000NVN::Old Balance:105743714::New Balance:105386566::Old Loc:0::New Loc:0::Date:20-06-2015 11:35:03
AdminController::Single party::Cheque issue::DDOCODE:02012202008::HOA:8448001200022000000NVN::Old Balance:105386566::New Balance:105151947::Old Loc:0::New Loc:0::Date:20-06-2015 11:38:44
AdminController::PD to PD::Cheque issue::DDOCODE:27020102002::HOA:8449001200030000000NVN::Old Balance:1163670854::New Balance:1085572694::Old Loc:942740592::New Loc:864642432::Date:20-06-2015 11:42:05
AdminController::Single party::Cheque issue::DDOCODE:27022707001::HOA:8449001200028000000NVN::Old Balance:62092537::New Balance:61981737::Old Loc:47088319::New Loc:46977519::Date:20-06-2015 11:44:13
AdminController::Single party::Cheque issue::DDOCODE:02012202008::HOA:8448001200022000000NVN::Old Balance:105151947::New Balance:104906793::Old Loc:0::New Loc:0::Date:20-06-2015 11:52:18
AdminController::Single party::Cheque issue::DDOCODE:02012202008::HOA:8448001200022000000NVN::Old Balance:104906793::New Balance:104688299::Old Loc:0::New Loc:0::Date:20-06-2015 11:55:05
AdminController::Single party::Cheque issue::DDOCODE:06012202002::HOA:8448001090003001000NVN::Old Balance:261705825::New Balance:261604678::Old Loc:3652588::New Loc:3551441::Date:20-06-2015 11:57:26
AdminController::Single party::Cheque issue::DDOCODE:02012202008::HOA:8448001200022000000NVN::Old Balance:104688299::New Balance:104464907::Old Loc:0::New Loc:0::Date:20-06-2015 11:57:34
AdminController::Multiple party::Cheque issue::DDOCODE:11012002001::HOA:8448001200022000000NVN::Old Balance:2329878088::New Balance:2321088088::Old Loc:0::New Loc:0::Date:20-06-2015 11:59:52
AdminController::Single party::Cheque issue::DDOCODE:02012202008::HOA:8448001200022000000NVN::Old Balance:104464907::New Balance:104223364::Old Loc:0::New Loc:0::Date:20-06-2015 12:00:28
AdminController::Single party::Cheque issue::DDOCODE:02012202008::HOA:8448001200022000000NVN::Old Balance:104223364::New Balance:103991375::Old Loc:0::New Loc:0::Date:20-06-2015 12:03:39
AdminController::Single party::Cheque issue::DDOCODE:02012202008::HOA:8448001200022000000NVN::Old Balance:103991375::New Balance:103788120::Old Loc:0::New Loc:0::Date:20-06-2015 12:08:55
AdminController::Single party::Cheque issue::DDOCODE:06012202002::HOA:8448001090003001000NVN::Old Balance:261604678::New Balance:261582798::Old Loc:3551441::New Loc:3529561::Date:20-06-2015 12:14:44
AdminController::Multiple party::Cheque issue::DDOCODE:12012210001::HOA:8448001200022000000NVN::Old Balance:10426670::New Balance:7517195::Old Loc:0::New Loc:0::Date:20-06-2015 12:16:24
AdminController::PD to PD::Cheque issue::DDOCODE:02012002001::HOA:8448001200022000000NVN::Old Balance:923213033::New Balance:922969258::Old Loc:0::New Loc:0::Date:20-06-2015 12:17:06
AdminController::Single party::Cheque issue::DDOCODE:07012002001::HOA:8448001200022000000NVN::Old Balance:372207192::New Balance:372197692::Old Loc:0::New Loc:0::Date:20-06-2015 12:18:06
AdminController::Single party::Cheque issue::DDOCODE:05011802001::HOA:8448001020003001000NVN::Old Balance:107469603::New Balance:107093603::Old Loc:28696211::New Loc:28320211::Date:20-06-2015 12:19:04
AdminController::Single party::Cheque issue::DDOCODE:07010702001::HOA:8342001170004002000NVN::Old Balance:43085040::New Balance:33165016::Old Loc:0::New Loc:0::Date:20-06-2015 12:22:22
AdminController::Single party::Cheque issue::DDOCODE:05012202010::HOA:8448001090002011000NVN::Old Balance:2117741::New Balance:1951769::Old Loc:0::New Loc:0::Date:20-06-2015 12:23:33
AdminController::Single party::Cheque issue::DDOCODE:05011802001::HOA:8448001020003002000NVN::Old Balance:46653691::New Balance:46279811::Old Loc:7780772::New Loc:7406892::Date:20-06-2015 12:27:49
AdminController::Single party::Cheque issue::DDOCODE:05012202010::HOA:8448001090002011000NVN::Old Balance:1951769::New Balance:1779513::Old Loc:0::New Loc:0::Date:20-06-2015 12:28:53
AdminController::Multiple party::Cheque issue::DDOCODE:03010102004::HOA:8449001200030000000NVN::Old Balance:186426731::New Balance:176901519::Old Loc:0::New Loc:0::Date:20-06-2015 12:36:28
AdminController::Single party::Cheque issue::DDOCODE:05011802001::HOA:8448001020003002000NVN::Old Balance:46279811::New Balance:45690155::Old Loc:7406892::New Loc:6817236::Date:20-06-2015 12:37:10
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:145740887::New Balance:145652297::Old Loc:0::New Loc:-88590::Date:20-06-2015 12:50:21
AdminController::Single party::Cheque issue::DDOCODE:09011603001::HOA:8443001040001000000NVN::Old Balance:25227418::New Balance:25217434::Old Loc:0::New Loc:-9984::Date:20-06-2015 12:50:53
AdminController::Single party::Cheque issue::DDOCODE:27022405001::HOA:8448001200009000000NVN::Old Balance:46514091::New Balance:46512727::Old Loc:29830271::New Loc:29828907::Date:20-06-2015 12:51:49
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:145652297::New Balance:145578469::Old Loc:0::New Loc:-73828::Date:20-06-2015 12:52:10
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:145578469::New Balance:145533931::Old Loc:0::New Loc:-44538::Date:20-06-2015 12:54:10
AdminController::Single party::Cheque issue::DDOCODE:12011603004::HOA:8443001040001000000NVN::Old Balance:145533931::New Balance:145479706::Old Loc:0::New Loc:-54225::Date:20-06-2015 12:56:08
AdminController::Multiple party::Cheque issue::DDOCODE:27022405001::HOA:8448001200009000000NVN::Old Balance:46512727::New Balance:46472852::Old Loc:29828907::New Loc:29789032::Date:20-06-2015 13:00:58
AdminController::Single party::Cheque issue::DDOCODE:27022405001::HOA:8448001200009000000NVN::Old Balance:46472852::New Balance:46409098::Old Loc:29789032::New Loc:29725278::Date:20-06-2015 13:02:02
AdminController::Single party::Cheque issue::DDOCODE:27021307001::HOA:8449001200093000000NVN::Old Balance:27030650::New Balance:26993650::Old Loc:17334744::New Loc:17297744::Date:20-06-2015 13:12:53
