DDO Code,DDO Designation
12011218028,"ID,KAD DIV, EXE ENG, YSR KADAPA"
12011304001,"SERICULTURE DEPT, ASST DIRECTOR, YSR KADAPA"
12011307001,"MINES & GEOLOGY, ASST DIRECTOR, YSR KADAPA"
12011502001,"DIST LEVEL TRAING CENTRE, ASST DIRECTOR, YSR KADAPA"
12011502004,"ITI, GOVT, PRL, MINO, YSR KADAPA"
12011503001,"LABOUR DEPT, DY COMMISSIONER, YSR KADAPA"
12011503005,"LABOUR DEPT, ASST COMMISSIONER, YSR KADAPA"
12011603003,"DIST LEGAL SERVICES AUTHORITY, SECY, YSR KADAPA"
12011603004,"DIST COURT, DIST JUDGE, YSR KADAPA"
12011603006,"JUNIOR CIVIL JUDGE, I ADDL, YSR KADAPA"
12011603007,"II ADDL JUDL1ST CLASS MAG, YSR KADAPA"
12011603011,"OFFICIAL RECEIVER, YSR KADAPA"
12011603012,"PRL JUNIOR CIVIL JUDGE, YSR KADAPA"
12011603013,"SENIOR CIVIL JUDGE, YSR KADAPA"
12011603016,"SPL JUDICIALMAGISTRATE, IST EXC/PROB, YSR KADAPA"
12011603021,"FAMILY COURT, JUDGE, YSR KADAPA"
12011802002,"MUNICIPAL COMMISSIONER, YSR KADAPA"
12011802003,"MUNICIPAL HEALTH OFFICER, YSR KADAPA"
12011804003,"PUBLIC HEALTH DIVISION, EXE ENG, YSR KADAPA"
12012002001,"PLANING DEPT, DY DIRECTOR, YSR KADAPA"
12012002002,"APSCRIC Ltd, EXE ENG, KDP DIVISION, YSR KADAPA"
12012202005,"PIU, EXE ENG, YSR KADAPA"
12012202013,"ZILLA PARISHAD, DY EDUCATIONAL OFFICER, YSR KADAPA"
12012202104,"ZILLA PARISHAD, DYCHIEF EXEOFFICER, YSR KADAPA"
12012202108,"PRI DIVISION, EXE ENG, YSR KADAPA"
12012207001,"DIST RURAL DEV AGENCY, CHAIRMAN, YSR KADAPA"
12012210001,"RWS&S DIV, EXE ENG, YSR KADAPA"
12012302001,"REVENUE DIVL OFFICE, ADMN OFFICER, YSR KADAPA"
12012302002,"COLLECTORATE, ADMNOFFICER, YSR KADAPA"
12012302003,"DIST COLLECTOR, YSR KADAPA"
12012302006,"MANDAL REVENUE OFFICER, YSR KADAPA"
12012302007,"MANDAL REVENUE OFFICER,KHAJIPET"
12012302008,"MANDAL REVENUE OFFICER,PENDLIMARRY"
12012308002,"SUB REGISTRAR OFFICER, RURAL, YSR KADAPA "
12012402023,"ST SC CO-OP SOCIETY, EXE DIRECTOR, YSR KADAPA"
12012402024,"APEWIDC, EXE ENGINEER, YSR KADAPA"
12012503002,"DIST BACKWORD CLASS WELFARE OFFICER, YSR KADAPA"
12012503009,"DIR DBC, SER COOP SOCIETY, EXE DIRECTOR, YSR KADAPA"
12012702005,"ICDS, PROJECT OFFICER, YSR KADAPA"
12012703001,"DISABLED WELFARE, ASST DIRECTOR, YSR KADAPA"
22010102003,"AGRL (R) DEPT, ASST DIRECTOR, VIZIANAGARAM"
22010102005,"AGRL DEPT, JT DIRECTOR, VIZIANAGARAM"
22010103001,"HORTICULTURE DEPT, ASST DIRECTOR-I, VIZIANAGARAM"
22010103002,"HORTICULTURE DEPT, ASST DIRECTOR-II, VIZIANAGARAM"
22010104002,"AGRL MARKETING COMMITTEE, SECRETAY, VIZIANAGARAM"
22010202001,"AHC, ASST DIRECTOR, VIZIANAGARAM"
22010202010,"ANIMAL HUSBANDRY, GAZETTED OFFICE MANAGER, O/o JD AH VIZIANAGARAM"
22010302001,"MRAG POLYTECH COLLEGE, PRL, VIZIANAGARAM"
22010304003,"SANSKRIT COLLEGE, GOVT, PRL, VIZIANAGARAM"
22010304005,"COR MR AUTONOMUS COLLEGE, VIZIANAGARAM"
22010308002,"ZILLA PARISHAD, PEO, VIZIANAGARAM"
22010308004,"RAJIV VIDYA MISSION, ASST ACCOUNTS OFFICER, VIZIANAGARAM "
22010308006,"HIGH SCHOOL, GIRLS, GOVT, HEAD MASTER, VIZIANAGARAM"
22010308007,"GAO O/O DIST EDUCATIONAL OFFICER,VIZIANAGARAM"
22010308032,"APWIDC, EXE ENGINEER, VIZIANAGARAM"
22010313001,"ZILLA GRANDHALAYA SAMSTH, SECY, VIZIANAGARAM"
22010702001,"DIST TREASURY, DY DIRECTOR, VIZIANAGARAM"
22010704001,"DIST INSURANCE OFFICE, ASST DIRECTOR, VIZIANAGARAM"
22010903013,"DIST MEDICAL & HEALTH OFFICE, VIZIANAGARAM"
22010913001,"APHMHIDC DIVN, EXE ENGINEER, VIZIANAGARAM"
22011002010,"POLICE TRAINING CENTRE, ADMN OFFICER, VIZIANAGARAM"
22011003002,"DIST SUB JAILS OFFICER, VIZIANAGARAM"
22011207001,"GROUND WATER DEPT, DY DIRECTOR, VIZIANAGARAM"
22011212001,"IRRIGATION & COMMAND AREA DEV, EE, VIZIANAGARAM"
22011304002,"SERICULTURE, ASST DIRECTOR, VIZIANAGARAM"
22011502002,"ITI (GIRLS), GOVT, PRL, VIZIANAGARAM"
22011503001,"LABOUR DEPT, DY COMMISSIONER, VIZIANAGARAM"
22011503002,"LABOUR DEPT, ASST COMMISSIONER, VIZIANAGARAM"
22011603001,"ADDL MUNISIFF MAGISTRATE, VIZIANAGARAM"
22011603002,JUDICIAL I-CLASS MAG SMC VIZIANAGARAM
22011603003,"ADDL DIST JUDGE, VIZIANAGARAM"
22011603005,SPL JUD I-CLASS MAG EXCISE COURT VIZIANAGARAM
22011603006,"DIST JUDGE, VIZIANAGARAM"
22011603007,"PRL JUNIOR CIVIL JUDGE, VIZIANAGARAM"
22011603008,"SENIOR CIVIL JUDGE, VIZIANAGARAM"
22011603010,"DIST CONSUMER FOURM, PRDT, VIZIANAGARAM"
22011603011,"DIST LEGAL SERVICES AUTHORITY, SECY, VIZIANAGARAM"
22011603012,DIST JUDGE EAT VIZIANAGARAM
22011603014,"FAMILY COURT, JUDGE, VIZIANAGARAM"
22011603015,"SJ SCST(POA)SESSIONS COURT,VIZIANAGARAM "
22011609001,"LEGAL METROLOGY, ASST CONTROLLER, W&M, VIZIANAGARAM"
22011802001,"MUNICIPAL HEALTH OFFICER, VIZIANAGARAM"
22011802003,"MUNICIPALITY, COMMISSIONER, VIZIANAGARAM"
22012002001,"PLANNING DEPT, CHIEF PLANNING OFFICER, VIZIANAGARAM"
22012202001,"DIST RURAL DEV AGENCY, COLLECTOR & CHAIRMAN, VIZIANAGARAM"
22012202003,"ZILLA PARISHAD, DY CEO, VIZIANAGARAM"
22012202005,"PANCHAYAT RAJ, EXE ENGINEER, VIZIANAGARAM"
22012202011,"PANCHAYAT RAJ PROJECTS, SUPERINTENDT ENGINEER, VIZIANAGARAM"
22012202013,"PANCHAYAT RAJ IRRIGATION, EXE ENGINEER, VIZIANAGARAM"
22012210002,"RURAL WATER SUPLY, EXE ENGINEER, VIZIANAGARAM"
22012302001,"REVENUE DIVL OFFICER, VIZIANAGARAM"
22012302002,"MANDAL REVENUE OFFICER, VIZIANAGARAM"
22012302003,"MANDAL REVENUE OFFICER, GANTYADA"
22012302005,"DIST COLLECTRATE, ADMN OFFICER, VIZIANAGARAM"
22012302006,"DIST REVENUE OFFICER, VIZIANAGARAM"
22012304003,"EXCISE & PROH DEPT, SUPDT, VIZIANAGARAM"
22012308001,"DIST REGISTRAR, VIZIANAGARAM"
22012308002,"SUB REGISTRAR(WEST), VIZIANAGARAM"
22012603001,"TRANSPORT DEPT, REGIONAL TRANSPORT OFFICER, VIZIANAGARAM"
